Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
320,0,-0.0157577,0.00315056,-0.00629908,255.988,-448.312,234.199
321,0,-0.0163864,0.00383747,-0.00619985,256.022,-449.031,234.229
322,0,-0.015647,0.00636609,0.0106989,255.663,-449.018,234.267
323,0,-0.014889,0.00314005,-0.00550244,256.079,-450.573,234.245
324,0,-0.016016,0.00290444,-0.00686041,256.113,-451.325,234.263
325,0,-0.0163384,0.00514214,0.0103631,255.814,-451.364,234.277
326,0,-0.0172801,0.00584268,0.0104582,255.87,-452.103,234.295
327,0,-0.0153932,0.00399203,-0.00510011,256.219,-453.633,234.294
328,0,-0.0146118,0.00560423,0.0098817,255.869,-453.616,234.337
329,0,-0.016025,0.00539302,0.00930548,255.925,-454.365,234.341
330,0,-0.0159836,0.00553301,0.00990648,255.976,-455.15,234.344
331,0,-0.01671,0.00601088,0.00970704,256.017,-455.908,234.37
332,0,-0.0158458,0.00543159,0.00957686,256.044,-456.688,234.368
333,0,-0.0158971,0.00532455,0.00954032,256.077,-457.458,234.392
334,0,-0.0161152,0.00547852,0.00871484,256.09,-458.178,234.42
335,0,-0.0162223,0.00528446,0.00898753,256.127,-458.941,234.45
336,0,-0.0159734,0.00477721,0.00905671,256.165,-459.739,234.452
337,0,-0.0155771,0.00520227,0.00839273,256.181,-460.46,234.455
338,0,-0.0157314,0.00506739,0.00911041,256.249,-461.266,234.445
339,0,-0.0166746,0.00551049,0.00897177,256.284,-462.035,234.458
340,0,-0.0169507,0.00436517,0.00932928,256.33,-462.788,234.483
341,0,-0.0163658,0.00469636,0.0087911,256.321,-463.542,234.511
342,0,-0.0158472,0.00478787,0.00897987,256.341,-464.299,234.533
343,0,-0.0155854,0.00530681,0.00833969,256.394,-465.058,234.543
344,0,-0.0164331,0.00493363,0.00854725,256.435,-465.856,234.552
345,0,-0.0166664,0.00456079,0.0080363,256.483,-466.61,234.57
346,0,-0.016657,0.00461428,0.00877438,256.535,-467.377,234.587
347,0,-0.0165227,0.00432908,0.00799225,256.555,-468.149,234.608
348,0,-0.0159869,0.00487954,0.0079425,256.598,-468.892,234.629
349,0,-0.0153641,0.00446336,0.00781073,256.606,-469.629,234.645
350,0,-0.0156891,0.00419413,0.00742345,256.631,-470.396,234.661
351,0,-0.0165852,0.00463639,0.00811232,256.692,-471.174,234.663
352,0,-0.0160646,0.00507887,0.00761038,256.735,-471.964,234.67
353,0,-0.0165234,0.00432289,0.00813001,256.762,-472.728,234.672
354,0,-0.0159311,0.00387858,0.00731296,256.764,-473.491,234.691
355,0,-0.0160198,0.00329344,0.00726762,256.815,-474.248,234.728
356,0,-0.0159815,0.00419343,0.0071756,256.883,-474.99,234.746
357,0,-0.0161503,0.00509589,0.00708258,256.882,-475.766,234.748
358,0,-0.0158372,0.0046295,0.00620196,256.914,-476.541,234.741
359,0,-0.0166798,0.00403773,0.00686695,256.952,-477.289,234.734
360,0,-0.016577,0.00352118,0.00739469,257,-478.082,234.763
361,0,-0.0163961,0.0032275,0.00720528,257.046,-478.836,234.797
362,0,-0.0160794,0.00419771,0.00723523,257.058,-479.552,234.817
363,0,-0.0161538,0.00371592,0.00706584,257.062,-480.321,234.809
364,0,-0.0160086,0.00413934,0.00672064,257.106,-481.085,234.818
365,0,-0.0162477,0.00374074,0.00690793,257.149,-481.86,234.833
366,0,-0.0166136,0.00381966,0.00629523,257.212,-482.63,234.865
367,0,-0.0164518,0.00366862,0.0066817,257.246,-483.393,234.88
368,0,-0.016158,0.00320976,0.006315,257.256,-484.155,234.902
369,0,-0.0157617,0.00369103,0.00601065,257.29,-484.919,234.912
370,0,-0.0156578,0.0036616,0.00540065,257.331,-485.668,234.917
371,0,-0.0165535,0.00367992,0.00574806,257.359,-486.419,234.943
372,0,-0.0162643,0.00372237,0.00620204,257.411,-487.211,234.936
373,0,-0.0160472,0.00343372,0.00594108,257.432,-487.973,234.952
374,0,-0.0156266,0.00249233,0.00570586,257.477,-488.748,234.955
375,0,-0.0155141,0.00278494,0.00524729,257.513,-489.489,234.974
376,0,-0.015444,0.00330137,0.00520652,257.544,-490.279,235.003
